	UNITID	INSTNM	IALIAS	ADDR	CITY	STABBR	ZIP	FIPS	OBEREG	OPEFLAG	WEBADDR	SECTOR	ICLEVEL	CONTROL	HLOFFER	UGOFFER	GROFFER	HDEGOFR1	DEGGRANT	HBCU	OPENPUBL	ACT	NEWID	DEATHYR	CYACTIVE	PSET4FLG	INSTCAT	C15BASIC	C15IPUG	C15IPGRD	C15UGPRF	C15ENPRF	C15SZSET	CCBASIC	CARNEGIE	LANDGRNT	INSTSIZE	F1SYSTYP	F1SYSNAM	F1SYSCOD	COUNTYCD	COUNTYNM	CNGDSTCD	LONGITUD	LATITUDE	CNTLAFFI	PUBPRIME	PUBSECON	RELAFFIL	DSTNUGC	DSTNUGP	DSTNUGN	DSTNGC	DSTNGP	DSTNGN	DISTCRS	DISTPGS	DSTNCED1	DSTNCED2	DSTNCED3	DISTNCED	ALLONCAM	EFDETOT_All	EFDETOT_Degree	EFDETOT_Grad	EFDETOT_Non	EFDETOT_Under	EFDEEXC_All	EFDEEXC_Degree	EFDEEXC_Grad	EFDEEXC_Non	EFDEEXC_Under	EFDESOM_All	EFDESOM_Degree	EFDESOM_Grad	EFDESOM_Non	EFDESOM_Under	EFDENON_All	EFDENON_Degree	EFDENON_Grad	EFDENON_Non	EFDENON_Under	EFDEEX1_All	EFDEEX1_Degree	EFDEEX1_Grad	EFDEEX1_Non	EFDEEX1_Under	EFDEEX2_All	EFDEEX2_Degree	EFDEEX2_Grad	EFDEEX2_Non	EFDEEX2_Under	EFDEEX3_All	EFDEEX3_Degree	EFDEEX3_Grad	EFDEEX3_Non	EFDEEX3_Under	EFDEEX4_All	EFDEEX4_Degree	EFDEEX4_Grad	EFDEEX4_Non	EFDEEX4_Under	EFDEEX5_All	EFDEEX5_Degree	EFDEEX5_Grad	EFDEEX5_Non	EFDEEX5_Under	SAINSTT_All	SAINSTT_Assistant	SAINSTT_Associate	SAINSTT_Instructor	SAINSTT_Lecturer	SAINSTT_NoRank	SAINSTT_Professor	SAINSTM_All	SAINSTM_Assistant	SAINSTM_Associate	SAINSTM_Instructor	SAINSTM_Lecturer	SAINSTM_NoRank	SAINSTM_Professor	SAINSTW_All	SAINSTW_Assistant	SAINSTW_Associate	SAINSTW_Instructor	SAINSTW_Lecturer	SAINSTW_NoRank	SAINSTW_Professor	SA_9MCT_All	SA_9MCT_Assistant	SA_9MCT_Associate	SA_9MCT_Instructor	SA_9MCT_Lecturer	SA_9MCT_NoRank	SA_9MCT_Professor	SA_9MCM_All	SA_9MCM_Assistant	SA_9MCM_Associate	SA_9MCM_Instructor	SA_9MCM_Lecturer	SA_9MCM_NoRank	SA_9MCM_Professor	SA_9MCW_All	SA_9MCW_Assistant	SA_9MCW_Associate	SA_9MCW_Instructor	SA_9MCW_Lecturer	SA_9MCW_NoRank	SA_9MCW_Professor	SATOTLT_All	SATOTLT_Assistant	SATOTLT_Associate	SATOTLT_Instructor	SATOTLT_Lecturer	SATOTLT_NoRank	SATOTLT_Professor	SATOTLM_All	SATOTLM_Assistant	SATOTLM_Associate	SATOTLM_Instructor	SATOTLM_Lecturer	SATOTLM_NoRank	SATOTLM_Professor	SATOTLW_All	SATOTLW_Assistant	SATOTLW_Associate	SATOTLW_Instructor	SATOTLW_Lecturer	SATOTLW_NoRank	SATOTLW_Professor	SAOUTLT_All	SAOUTLT_Assistant	SAOUTLT_Associate	SAOUTLT_Instructor	SAOUTLT_Lecturer	SAOUTLT_NoRank	SAOUTLT_Professor	SAOUTLM_All	SAOUTLM_Assistant	SAOUTLM_Associate	SAOUTLM_Instructor	SAOUTLM_Lecturer	SAOUTLM_NoRank	SAOUTLM_Professor	SAOUTLW_All	SAOUTLW_Assistant	SAOUTLW_Associate	SAOUTLW_Instructor	SAOUTLW_Lecturer	SAOUTLW_NoRank	SAOUTLW_Professor	SAEQ9OT_All	SAEQ9OT_Assistant	SAEQ9OT_Associate	SAEQ9OT_Instructor	SAEQ9OT_Lecturer	SAEQ9OT_NoRank	SAEQ9OT_Professor	SAEQ9OM_All	SAEQ9OM_Assistant	SAEQ9OM_Associate	SAEQ9OM_Instructor	SAEQ9OM_Lecturer	SAEQ9OM_NoRank	SAEQ9OM_Professor	SAEQ9OW_All	SAEQ9OW_Assistant	SAEQ9OW_Associate	SAEQ9OW_Instructor	SAEQ9OW_Lecturer	SAEQ9OW_NoRank	SAEQ9OW_Professor	SAEQ9AT_All	SAEQ9AT_Assistant	SAEQ9AT_Associate	SAEQ9AT_Instructor	SAEQ9AT_Lecturer	SAEQ9AT_NoRank	SAEQ9AT_Professor	SAEQ9AM_All	SAEQ9AM_Assistant	SAEQ9AM_Associate	SAEQ9AM_Instructor	SAEQ9AM_Lecturer	SAEQ9AM_NoRank	SAEQ9AM_Professor	SAEQ9AW_All	SAEQ9AW_Assistant	SAEQ9AW_Associate	SAEQ9AW_Instructor	SAEQ9AW_Lecturer	SAEQ9AW_NoRank	SAEQ9AW_Professor	YEAR	TUITION1	FEE1	HRCHG1	TUITION2	FEE2	HRCHG2	TUITION3	FEE3	HRCHG3	TUITION5	FEE5	HRCHG5	TUITION6	FEE6	HRCHG6	TUITION7	FEE7	HRCHG7	OMACHRT_FirstFullTotal	OMACHRT_Total	OMAWDP8_FirstFullTotal	OMAWDP8_Total	OMENRTP_FirstFullTotal	OMENRTP_Total	OMENRYP_FirstFullTotal	OMENRYP_Total	OMENRAP_FirstFullTotal	OMENRAP_Total	OMENRUP_FirstFullTotal	OMENRUP_Total	OMACHRT_FirstFullNonpell	OMACHRT_FirstFullPell	OMACHRT_FirstPartNonpell	OMACHRT_FirstPartPell	OMACHRT_FirstPartTotal	OMACHRT_TotalNonpell	OMACHRT_TotalPell	OMAWDP8_FirstFullNonpell	OMAWDP8_FirstFullPell	OMAWDP8_FirstPartNonpell	OMAWDP8_FirstPartPell	OMAWDP8_FirstPartTotal	OMAWDP8_TotalNonpell	OMAWDP8_TotalPell	OMENRTP_FirstFullNonpell	OMENRTP_FirstFullPell	OMENRTP_FirstPartNonpell	OMENRTP_FirstPartPell	OMENRTP_FirstPartTotal	OMENRTP_TotalNonpell	OMENRTP_TotalPell	OMENRYP_FirstFullNonpell	OMENRYP_FirstFullPell	OMENRYP_FirstPartNonpell	OMENRYP_FirstPartPell	OMENRYP_FirstPartTotal	OMENRYP_TotalNonpell	OMENRYP_TotalPell	OMENRAP_FirstFullNonpell	OMENRAP_FirstFullPell	OMENRAP_FirstPartNonpell	OMENRAP_FirstPartPell	OMENRAP_FirstPartTotal	OMENRAP_TotalNonpell	OMENRAP_TotalPell	OMENRUP_FirstFullNonpell	OMENRUP_FirstFullPell	OMENRUP_FirstPartNonpell	OMENRUP_FirstPartPell	OMENRUP_FirstPartTotal	OMENRUP_TotalNonpell	OMENRUP_TotalPell
237	110219	Bryan University	 	3580 Wilshire blvd suite 400	Los Angeles	CA	90010	6	8	1	www.bryancollege.edu	3	1	3	6	1	1	40	1	2	1	A 	-2	-2	1	1	4	Null	Null	Null	Null	Null	Null	10	-3	2	2	1	Bryan Career College Inc	Null	6037	Los Angeles County	634	-118.30288200000001	34.061406	2.0	-2.0	-2.0	-2.0	Null	Null	Null	Null	Null	Null	Null	Null	1.0	1.0	0.0	2.0	2.0	1391.0	1315.0	76.0	Null	1315.0	1098.0	1022.0	76.0	Null	1022.0	0.0	0.0	0.0	Null	0.0	293.0	293.0	0.0	Null	293.0	442.0	434.0	8.0	Null	434.0	656.0	588.0	68.0	Null	588.0	0.0	0.0	0.0	Null	0.0	0.0	0.0	0.0	Null	0.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	43.0	Null	Null	Null	Null	43.0	Null	21.0	Null	Null	Null	Null	21.0	Null	22.0	Null	Null	Null	Null	22.0	Null	2346252.0	Null	Null	Null	Null	2346252.0	Null	1077665.0	Null	Null	Null	Null	1077665.0	Null	1268587.0	Null	Null	Null	Null	1268587.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	2012																																																																								
238	110246	Butte College	 	3536 Butte Campus Drive	Oroville	CA	95965-8399	6	8	1	www.butte.edu	4	2	1	4	1	2	40	1	2	1	A 	-2	-2	1	1	4	Null	Null	Null	Null	Null	Null	3	40	2	4	1	California Community College System	Null	6007	Butte County	601	-121.644691	39.649116	1.0	2.0	8.0	-2.0	Null	Null	Null	Null	Null	Null	Null	Null	1.0	0.0	0.0	2.0	2.0	12290.0	11165.0	Null	1125.0	12290.0	395.0	347.0	Null	48.0	395.0	1241.0	1205.0	Null	36.0	1241.0	10654.0	9613.0	Null	1041.0	10654.0	389.0	341.0	Null	48.0	389.0	0.0	0.0	Null	0.0	0.0	1.0	1.0	Null	0.0	1.0	5.0	5.0	Null	0.0	5.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	174.0	Null	Null	174.0	Null	Null	Null	84.0	Null	Null	84.0	Null	Null	Null	90.0	Null	Null	90.0	Null	Null	Null	14697797.0	Null	Null	14697797.0	Null	Null	Null	6899727.0	Null	Null	6899727.0	Null	Null	Null	7798070.0	Null	Null	7798070.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	2012																																																																								
239	110307	Phillips Graduate Institute	 	19900 Plummer Street	Chatsworth	CA	91311	6	8	1	pgi.edu	2	1	2	9	2	1	12	1	2	1	A 	-2	-2	1	1	1	Null	Null	Null	Null	Null	Null	26	59	2	1	2	 	Null	6037	Los Angeles County	630	-118.567651	34.242703000000006	3.0	-2.0	-2.0	-2.0	Null	Null	Null	Null	Null	Null	Null	Null	0.0	0.0	1.0	2.0	-2.0	210.0	Null	210.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	210.0	Null	210.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	11.0	Null	6.0	1.0	Null	Null	4.0	5.0	Null	2.0	0.0	Null	Null	3.0	6.0	Null	4.0	1.0	Null	Null	1.0	601584.0	Null	359984.0	41250.0	Null	Null	200350.0	266525.0	Null	123125.0	0.0	Null	Null	143400.0	335059.0	Null	236859.0	41250.0	Null	Null	56950.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	2012																																																																								
240	110316	California Institute of Integral Studies	CIIS	1453 Mission Street	San Francisco	CA	94103	6	8	1	www.ciis.edu	2	1	2	9	1	1	11	1	2	1	A 	-2	-2	1	1	2	Null	Null	Null	Null	Null	Null	17	59	2	2	2	 	Null	6075	San Francisco County	612	-122.416537	37.774768	3.0	-2.0	-2.0	-2.0	Null	Null	Null	Null	Null	Null	Null	Null	0.0	1.0	0.0	2.0	-2.0	1350.0	93.0	1257.0	Null	93.0	162.0	0.0	162.0	Null	0.0	43.0	4.0	39.0	Null	4.0	1145.0	89.0	1056.0	Null	89.0	67.0	Null	67.0	Null	Null	87.0	Null	87.0	Null	Null	1.0	Null	1.0	Null	Null	7.0	Null	7.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	62.0	13.0	17.0	Null	1.0	Null	31.0	32.0	5.0	8.0	Null	0.0	Null	19.0	30.0	8.0	9.0	Null	1.0	Null	12.0	4912648.0	833189.0	1244380.0	Null	41250.0	Null	2793829.0	2610883.0	323317.0	585140.0	Null	0.0	Null	1702426.0	2301765.0	509872.0	659240.0	Null	41250.0	Null	1091403.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	2012																																																																								
241	110334	Cabrillo College	 	6500 Soquel Dr	Aptos	CA	95003	6	8	1	www.cabrillo.edu	4	2	1	3	1	2	40	1	2	1	A 	-2	-2	1	1	4	Null	Null	Null	Null	Null	Null	3	40	2	4	1	California Community College System	Null	6087	Santa Cruz County	620	-121.927926	36.9891	1.0	2.0	0.0	-2.0	Null	Null	Null	Null	Null	Null	Null	Null	1.0	0.0	0.0	2.0	2.0	13559.0	12118.0	Null	1441.0	13559.0	587.0	507.0	Null	80.0	587.0	2720.0	2550.0	Null	170.0	2720.0	10252.0	9061.0	Null	1191.0	10252.0	583.0	506.0	Null	77.0	583.0	0.0	0.0	Null	0.0	0.0	3.0	1.0	Null	2.0	3.0	1.0	0.0	Null	1.0	1.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	218.0	Null	Null	218.0	Null	Null	Null	97.0	Null	Null	97.0	Null	Null	Null	121.0	Null	Null	121.0	Null	Null	Null	16073001.0	Null	Null	16073001.0	Null	Null	Null	7453045.0	Null	Null	7453045.0	Null	Null	Null	8619956.0	Null	Null	8619956.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	2012																																																																								
242	110361	California Baptist University	 	8432 Magnolia Ave	Riverside	CA	92504-3297	6	8	1	www.calbaptist.edu	2	1	2	7	1	1	20	1	2	1	A 	-2	-2	1	1	2	Null	Null	Null	Null	Null	Null	18	21	2	3	2	 	Null	6065	Riverside County	641	-117.42586999999999	33.928569	4.0	-2.0	-2.0	75.0	Null	Null	Null	Null	Null	Null	Null	Null	1.0	1.0	0.0	2.0	2.0	6031.0	4954.0	1077.0	Null	4954.0	486.0	375.0	111.0	Null	375.0	1544.0	1445.0	99.0	Null	1445.0	4001.0	3134.0	867.0	Null	3134.0	475.0	373.0	102.0	Null	373.0	9.0	1.0	8.0	Null	1.0	0.0	0.0	0.0	Null	0.0	2.0	1.0	1.0	Null	1.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	231.0	91.0	60.0	2.0	25.0	Null	53.0	129.0	45.0	35.0	0.0	7.0	Null	42.0	102.0	46.0	25.0	2.0	18.0	Null	11.0	17687264.0	6712500.0	4902550.0	110000.0	903214.0	Null	5059000.0	10454256.0	3229000.0	2891000.0	0.0	253256.0	Null	4081000.0	7233008.0	3483500.0	2011550.0	110000.0	649958.0	Null	978000.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	2012																																																																								
243	110370	California College of the Arts	 	5212 Broadway	Oakland	CA	94618-1487	6	8	1	www.cca.edu	2	1	2	7	1	1	20	1	2	1	A 	-2	-2	1	1	2	Null	Null	Null	Null	Null	Null	30	56	2	2	2	 	Null	6001	Alameda County	613	-122.251446	37.835747	3.0	-2.0	-2.0	-2.0	Null	Null	Null	Null	Null	Null	Null	Null	0.0	0.0	1.0	2.0	2.0	1945.0	1450.0	467.0	28.0	1478.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	1945.0	1450.0	467.0	28.0	1478.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	81.0	21.0	37.0	3.0	Null	1.0	19.0	44.0	10.0	21.0	2.0	Null	1.0	10.0	37.0	11.0	16.0	1.0	Null	0.0	9.0	6113581.0	1425236.0	2883010.0	116250.0	Null	42500.0	1646585.0	3258420.0	730955.0	1590136.0	71000.0	Null	42500.0	823829.0	2855161.0	694281.0	1292874.0	45250.0	Null	0.0	822756.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	2012																																																																								
244	110398	University of California Hastings College of Law	 	200 McAllister St	San Francisco	CA	94102-4978	6	8	1	www.uchastings.edu	1	1	1	9	2	1	13	1	2	1	A 	-2	-2	1	1	1	Null	Null	Null	Null	Null	Null	31	57	2	2	2	 	Null	6075	San Francisco County	612	-122.41539499999999	37.780718	1.0	2.0	0.0	-2.0	Null	Null	Null	Null	Null	Null	Null	Null	0.0	0.0	1.0	2.0	-2.0	1159.0	Null	1159.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	1159.0	Null	1159.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	64.0	Null	10.0	Null	3.0	Null	51.0	36.0	Null	7.0	Null	0.0	Null	29.0	28.0	Null	3.0	Null	3.0	Null	22.0	10661034.0	Null	1384829.0	Null	333828.0	Null	8942377.0	6353131.0	Null	964894.0	Null	0.0	Null	5388237.0	4307903.0	Null	419935.0	Null	333828.0	Null	3554140.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	2012																																																																								
245	110404	California Institute of Technology	Caltech|Cal Tech	1200 E California Blvd	Pasadena	CA	91125	6	8	1	www.caltech.edu	2	1	2	9	1	1	12	1	2	1	A 	-2	-2	1	1	2	Null	Null	Null	Null	Null	Null	15	15	2	2	2	 	Null	6037	Los Angeles County	627	-118.12574	34.139275	3.0	-2.0	-2.0	-2.0	Null	Null	Null	Null	Null	Null	Null	Null	0.0	0.0	1.0	2.0	2.0	2243.0	997.0	1246.0	Null	997.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	2243.0	997.0	1246.0	Null	997.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	327.0	46.0	4.0	14.0	15.0	11.0	237.0	265.0	32.0	4.0	12.0	8.0	9.0	200.0	62.0	14.0	0.0	2.0	7.0	2.0	37.0	61264559.0	6343000.0	598000.0	796313.0	904143.0	757103.0	51866000.0	51250803.0	4431000.0	598000.0	700480.0	445350.0	647473.0	44428500.0	10013756.0	1912000.0	0.0	95833.0	458793.0	109630.0	7437500.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	2012																																																																								
246	110413	California Lutheran University	 	60 W Olsen Rd	Thousand Oaks	CA	91360-2787	6	8	1	www.callutheran.edu/	2	1	2	9	1	1	13	1	2	1	A 	-2	-2	1	1	2	Null	Null	Null	Null	Null	Null	18	21	2	2	2	 	Null	6111	Ventura County	626	-118.87946699999999	34.225551	4.0	-2.0	-2.0	39.0	Null	Null	Null	Null	Null	Null	Null	Null	1.0	1.0	0.0	2.0	2.0	4205.0	2788.0	1401.0	16.0	2804.0	137.0	26.0	111.0	0.0	26.0	43.0	31.0	12.0	0.0	31.0	4025.0	2731.0	1278.0	16.0	2747.0	98.0	26.0	72.0	Null	26.0	25.0	0.0	25.0	Null	0.0	0.0	0.0	0.0	Null	0.0	14.0	0.0	14.0	Null	0.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	163.0	44.0	38.0	7.0	24.0	Null	50.0	87.0	20.0	18.0	6.0	10.0	Null	33.0	76.0	24.0	20.0	1.0	14.0	Null	17.0	13641035.0	3186018.0	3236319.0	451200.0	1545362.0	Null	5222136.0	7574464.0	1436118.0	1594764.0	399200.0	639782.0	Null	3504600.0	6066571.0	1749900.0	1641555.0	52000.0	905580.0	Null	1717536.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	2012																																																																								
247	110422	California Polytechnic State University-San Luis Obispo	Cal Poly	One Grand Ave	San Luis Obispo	CA	93407	6	8	1	www.calpoly.edu	1	1	1	7	1	1	20	1	2	1	A 	-2	-2	1	1	2	Null	Null	Null	Null	Null	Null	18	21	2	4	1	California State University	Null	6079	San Luis Obispo County	624	-120.65856000000001	35.29889	1.0	2.0	0.0	-2.0	Null	Null	Null	Null	Null	Null	Null	Null	1.0	1.0	0.0	2.0	2.0	18679.0	17599.0	999.0	81.0	17680.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18679.0	17599.0	999.0	81.0	17680.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	734.0	145.0	182.0	Null	126.0	2.0	279.0	485.0	78.0	127.0	Null	70.0	2.0	208.0	249.0	67.0	55.0	Null	56.0	0.0	71.0	59168400.0	9519852.0	14228412.0	Null	7678884.0	279216.0	27462036.0	40722012.0	5269104.0	10078644.0	Null	4333260.0	279216.0	20761788.0	18446388.0	4250748.0	4149768.0	Null	3345624.0	0.0	6700248.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	2012																																																																								
248	110468	Alliant International University	 	10455 Pomerado Road	San Diego	CA	92131-1799	6	8	1	www.alliant.edu	2	1	2	9	1	1	11	1	2	1	A 	-2	-2	1	1	2	Null	Null	Null	Null	Null	Null	17	59	2	2	1	Alliant International University	Null	6073	San Diego County	652	-117.094398	32.897056	3.0	-2.0	-2.0	-2.0	Null	Null	Null	Null	Null	Null	Null	Null	1.0	1.0	0.0	2.0	2.0	3489.0	140.0	3300.0	49.0	189.0	97.0	7.0	89.0	1.0	8.0	270.0	61.0	209.0	0.0	61.0	3122.0	72.0	3002.0	48.0	120.0	90.0	6.0	83.0	1.0	7.0	7.0	1.0	6.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	178.0	49.0	58.0	2.0	5.0	6.0	58.0	84.0	18.0	24.0	1.0	4.0	1.0	36.0	94.0	31.0	34.0	1.0	1.0	5.0	22.0	13159441.0	3131421.0	4164009.0	93287.0	340014.0	333646.0	5097064.0	6470314.0	1152751.0	1750390.0	44830.0	275013.0	62000.0	3185330.0	6689127.0	1978670.0	2413619.0	48457.0	65001.0	271646.0	1911734.0	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	2012																																																																								
